"SchoolId","FinanceId","SchoolName","SchoolNetworkName","Meeting01","Meeting02","Meeting03","Meeting04","Meeting05","Meeting06","Meeting07","Meeting08","Meeting09","Meeting10","Meeting11","Meeting12","Meeting13","Meeting14","Meeting15","Meeting16","Meeting17","Meeting18","Meeting19","Meeting20","Meeting21","Meeting22","Meeting23","Meeting24"
"609991","23771","HERZL","Austin-North Lawndale","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"609994","23801","HIBBARD","O'Hare","07/2012 ","08/2012 ","09/24/2012 03:30 PM","10/29/2012 03:30 PM","11/26/2012 03:30 PM","12/2012 ","01/28/2013 03:30 PM","02/25/2013 03:30 PM","03/25/2013 03:30 PM","04/22/2013 03:30 PM","05/20/2013 03:30 PM","06/2013 ","","","","","","","","","","","",""
"610295","31251","HIGGINS","Lake Calumet","07/2012 ","08/14/2012 03:45 PM","09/11/2012 03:45 PM","10/08/2012 03:45 PM","11/13/2012 03:45 PM","12/11/2012 03:45 PM","01/08/2013 03:45 PM","02/12/2013 03:45 PM","03/12/2013 03:45 PM","04/09/2013 03:45 PM","05/14/2013 03:45 PM","06/11/2013 03:45 PM","","","","","","","","","","","",""
"610299","26371","HINTON","Englewood-Gresham","07/2012 ","08/21/2012 03:00 PM","09/18/2012 03:00 PM","10/30/2012 04:00 PM","11/20/2012 03:00 PM","12/11/2012 03:00 PM","01/15/2013 03:00 PM","02/19/2013 03:00 PM","03/19/2013 03:00 PM","04/16/2013 03:00 PM","05/21/2013 03:00 PM","06/11/2013 03:00 PM","","","","","","","","","","","",""
"609712","47031","HIRSCH HS","South Side","07/2012 ","08/18/2012 09:30 AM","09/15/2012 09:30 AM","10/20/2012 09:30 AM","11/17/2012 09:30 AM","12/15/2012 09:30 AM","01/19/2013 09:30 AM","02/16/2013 09:30 AM","03/16/2013 09:30 AM","04/20/2013 09:30 AM","05/18/2013 09:30 AM","06/15/2013 09:30 AM","","","","","","","","","","","",""
"609995","23811","HITCH","O'Hare","07/2012 ","08/08/2012 06:00 PM","09/12/2012 06:30 PM","10/10/2012 06:30 PM","11/07/2012 06:30 PM","12/2012 ","01/09/2013 06:30 PM","02/13/2013 06:30 PM","03/13/2013 06:30 PM","04/10/2013 06:30 PM","05/08/2013 06:30 PM","06/2013 ","","","","","","","","","","","",""
"609996","23821","HOLDEN","Pershing","07/16/2012 10:00 AM","08/2012 ","09/11/2012 08:30 AM","10/09/2012 08:30 AM","11/13/2012 08:30 AM","12/11/2012 08:30 AM","01/08/2013 08:30 AM","02/12/2013 08:30 AM","03/12/2013 08:30 AM","04/09/2013 08:30 AM","05/14/2013 08:30 AM","06/11/2013 08:30 AM","","","","","","","","","","","",""
"609997","23831","HOLMES","Englewood-Gresham","07/2012 ","08/03/2012 03:15 PM","09/01/2012 03:15 PM","10/05/2012 03:15 PM","11/02/2012 03:15 PM","12/07/2012 03:15 PM","01/10/2013 03:15 PM","02/01/2013 03:15 PM","03/01/2013 03:15 PM","04/13/2013 03:15 PM","05/03/2013 03:15 PM","06/07/2013 03:15 PM","","","","","","","","","","","",""
"609768","49091","HOPE HS","Southwest Side","07/2012 ","08/2012 ","09/2012 ","10/02/2012 04:00 PM","11/2012 ","12/04/2012 04:00 PM","01/2013 ","02/05/2013 04:00 PM","03/2013 ","04/02/2013 04:00 PM","05/07/2013 04:00 PM","06/04/2013 04:00 PM","","","","","","","","","","","",""
"610000","23851","HOWE","Austin-North Lawndale","07/2012 ","08/06/2012 03:45 PM","09/2012 ","10/25/2012 09:00 AM","11/29/2012 09:00 AM","12/2012 ","01/31/2013 09:00 AM","02/28/2013 09:00 AM","03/2013 ","04/25/2013 09:00 AM","05/30/2013 09:00 AM","06/2013 ","","","","","","","","","","","",""
"610002","23871","HOYNE","Skyway","07/2012 ","08/07/2012 06:00 PM","09/04/2012 06:00 PM","10/02/2012 06:00 PM","11/06/2012 06:00 PM","12/04/2012 06:00 PM","01/08/2013 06:00 PM","02/05/2013 06:00 PM","03/05/2013 06:00 PM","04/09/2013 06:00 PM","05/07/2013 06:00 PM","06/04/2013 06:00 PM","","","","","","","","","","","",""
"609741","46341","HUBBARD HS","Southwest Side","07/2012 ","08/17/2012 10:00 AM","09/25/2012 04:00 PM","10/09/2012 04:00 PM","11/20/2012 04:00 PM","12/11/2012 04:00 PM","01/08/2013 04:00 PM","02/12/2013 04:00 PM","03/12/2013 04:00 PM","04/09/2013 04:00 PM","05/14/2013 04:00 PM","06/11/2013 04:00 PM","","","","","","","","","","","",""
